,1. open,2. high,3. low,4. close,5. volume
2023-09-25 11:45:00,429.805,429.919,429.533,429.614,517026.0
2023-09-25 11:50:00,429.606,429.829,429.558,429.645,441442.0
2023-09-25 11:55:00,429.647,429.819,429.339,429.526,433364.0
2023-09-25 12:00:00,429.516,429.65,429.289,429.386,374444.0
2023-09-25 12:05:00,429.397,429.665,429.339,429.496,626763.0
2023-09-25 12:10:00,429.476,429.73,429.429,429.663,310298.0
2023-09-25 12:15:00,429.656,430.099,429.638,430.042,540900.0
2023-09-25 12:20:00,430.034,430.278,429.957,430.203,485558.0
2023-09-25 12:25:00,430.193,430.223,430.026,430.143,403905.0
2023-09-25 12:30:00,430.154,430.213,429.947,429.964,433446.0
2023-09-25 12:35:00,429.963,429.999,429.578,429.615,517880.0
2023-09-25 12:40:00,429.611,429.869,429.578,429.595,385261.0
2023-09-25 12:45:00,429.601,429.67,429.399,429.406,330177.0
2023-09-25 12:50:00,429.407,429.431,428.861,429.306,847070.0
2023-09-25 12:55:00,429.307,429.38,429.09,429.336,357874.0
2023-09-25 13:00:00,429.357,429.371,429.07,429.137,371772.0
2023-09-25 13:05:00,429.138,429.819,429.09,429.743,387182.0
2023-09-25 13:10:00,429.74,430.108,429.703,429.974,463478.0
2023-09-25 13:15:00,430.004,430.029,429.718,429.805,426831.0
2023-09-25 13:20:00,429.795,429.909,429.439,429.491,389884.0
2023-09-25 13:25:00,429.496,429.531,428.911,429.237,513630.0
2023-09-25 13:30:00,429.247,429.292,428.911,429.247,621741.0
2023-09-25 13:35:00,429.227,429.541,429.13,429.517,393448.0
2023-09-25 13:40:00,429.506,429.541,429.155,429.217,454295.0
2023-09-25 13:45:00,429.217,429.361,428.871,429.316,478164.0
2023-09-25 13:50:00,429.297,429.66,429.279,429.466,342478.0
2023-09-25 13:55:00,429.446,429.76,429.429,429.725,431335.0
2023-09-25 14:00:00,429.735,429.954,429.703,429.904,537879.0
2023-09-25 14:05:00,429.904,429.989,429.558,429.58,555185.0
